,Gender,Age,Education,Monthly Household Income,Social Identity,Residential Area,Overseas Travel Experience,Travel Experience to Mainland,Friend/Relatives in Mainland China,label
0,2,3,2,3,3,2,3,3,1,3
1,2,2,3,3,4,3,2,3,1,3
2,2,2,3,3,1,2,3,3,1,1
3,1,4,1,2,1,2,2,3,1,0
4,2,3,2,3,4,2,2,3,1,3
5,1,2,3,4,1,3,3,2,2,1
6,2,1,3,3,1,2,3,2,2,1
7,2,2,3,4,1,1,3,4,2,1
8,2,2,3,4,3,1,3,3,1,3
9,2,2,3,3,1,3,3,3,1,1
10,2,2,3,3,1,3,3,3,1,1
11,1,2,3,2,1,3,3,2,2,2
12,2,2,2,4,4,2,3,2,2,3
13,1,1,2,2,1,2,3,4,1,2
14,1,1,1,2,1,2,1,1,2,2
15,2,2,3,3,1,1,3,2,1,1
16,1,2,3,2,1,1,3,2,2,2
17,2,1,3,2,1,3,2,3,1,2
18,2,3,3,4,1,2,3,3,1,1
19,2,1,1,1,1,3,2,3,1,2
20,1,3,1,3,1,2,1,3,1,0
21,1,1,3,2,4,3,3,3,1,3
22,1,2,3,3,1,3,3,3,1,1
23,1,3,3,4,4,3,3,3,1,3
24,1,2,2,2,1,3,2,2,1,2
25,1,1,3,2,1,1,3,3,1,2
26,1,2,3,2,1,3,3,3,1,2
27,2,2,3,3,1,2,3,3,1,1
28,2,3,1,2,4,2,3,4,1,3
29,2,3,2,3,3,2,3,2,1,3
30,2,1,3,4,1,2,2,3,1,1
31,1,2,3,2,1,2,3,1,1,2
32,2,1,3,3,1,3,3,3,1,1
33,2,2,1,3,4,3,3,4,1,3
34,2,2,3,3,1,3,3,3,1,1
35,1,1,3,4,1,3,3,3,1,1
36,1,1,3,3,1,3,3,3,2,1
37,2,1,3,4,3,3,3,3,1,1
38,1,2,3,2,4,2,2,3,1,3
39,1,1,3,3,1,2,2,3,1,1
40,1,2,3,4,1,2,3,3,1,1
41,1,1,3,2,1,2,3,2,2,2
42,2,1,3,4,1,1,3,3,1,1
43,1,2,3,4,1,2,3,2,2,1
44,1,2,3,3,1,3,3,3,1,1
45,1,2,3,4,1,1,3,3,1,1
46,1,1,3,3,1,1,2,3,1,1
47,1,3,3,4,1,2,2,1,2,1
48,2,2,3,3,1,3,3,2,2,1
49,1,1,2,2,1,2,3,2,1,2
50,2,2,2,2,1,3,3,2,1,2
51,2,3,1,2,1,3,2,2,2,0
52,2,2,1,2,1,3,3,2,2,2
53,2,3,1,4,1,3,3,3,1,0
54,2,3,1,4,4,3,3,2,2,3
55,1,4,1,2,3,3,3,2,2,0
56,2,3,1,2,3,3,3,3,1,3
57,2,4,1,1,1,3,3,2,1,0
58,1,1,2,2,1,3,2,2,1,2
59,2,4,1,2,1,2,3,2,2,0
60,2,1,1,1,1,2,2,1,2,2
61,1,4,1,1,3,3,1,3,2,0
62,1,1,1,1,1,3,1,1,1,2
63,2,4,1,4,1,2,3,3,1,0
64,1,4,1,1,1,2,3,3,1,0
65,2,4,1,2,4,3,3,3,1,3
66,2,4,1,4,4,3,3,2,2,3
67,2,1,1,1,1,2,1,4,2,2
68,2,4,1,1,3,2,2,4,1,0
69,2,3,1,4,1,3,3,2,1,0
70,2,4,1,1,1,2,2,2,1,0
71,2,1,1,1,1,3,3,1,1,2
72,2,1,1,1,1,3,3,3,1,2
73,2,3,1,4,1,3,3,2,1,0
74,2,2,2,1,1,3,3,2,1,2
75,1,2,3,3,1,3,3,2,1,1
76,2,2,1,2,4,2,3,3,1,3
77,2,2,1,2,2,3,2,4,1,2
78,2,4,1,4,1,1,3,1,2,0
79,1,3,1,2,1,2,3,2,2,0
80,2,3,1,4,3,2,3,3,1,3
81,2,4,1,2,3,2,3,2,1,0
82,1,1,2,1,4,2,2,2,2,3
83,2,1,2,1,1,3,2,2,2,2
84,1,4,1,4,4,3,3,2,1,3
85,1,3,2,3,1,2,3,2,2,0
86,1,2,1,2,1,3,3,3,1,2
87,1,3,2,3,1,1,3,2,2,0
88,1,1,2,3,1,3,2,4,1,1
89,1,4,1,3,2,1,3,2,1,0
90,2,1,1,1,1,3,3,2,1,2
91,2,4,1,1,1,3,1,4,1,0
92,2,4,1,4,3,3,3,2,1,3
93,2,4,1,3,1,3,3,3,1,0
94,2,4,1,1,1,3,2,2,2,0
95,2,4,1,4,1,1,3,3,1,0
96,1,4,1,1,1,2,3,3,1,0
97,2,4,1,3,3,2,3,2,2,0
98,1,4,2,1,1,2,3,4,1,0
99,2,4,1,4,1,1,3,2,2,0
100,1,4,1,4,1,3,3,2,2,0
101,1,4,1,4,2,3,3,3,1,0
102,2,4,1,4,3,3,3,4,1,3
103,1,4,1,4,1,3,3,4,1,0
104,2,4,1,1,4,2,1,2,2,3
105,1,4,2,4,1,3,3,3,1,0
106,2,4,1,2,4,1,2,2,2,3
107,1,2,1,3,1,3,3,4,1,0
108,1,4,2,2,1,2,3,4,1,0
109,1,4,3,1,2,1,3,2,2,0
110,2,4,3,3,3,2,3,3,1,3
111,2,2,2,1,1,1,3,3,1,2
112,2,4,1,3,1,3,2,2,2,0
113,1,4,1,2,1,2,3,4,1,0
114,1,4,1,1,3,1,3,3,1,0
115,1,4,1,1,4,3,3,2,2,3
116,1,1,3,2,1,1,3,1,2,2
117,1,1,3,3,1,3,3,2,1,1
118,2,1,3,2,1,1,3,3,1,2
119,2,1,3,4,3,3,3,3,1,1
120,2,1,3,2,1,2,2,2,2,2
121,2,2,3,4,1,2,3,3,1,1
122,2,1,2,3,3,3,3,3,1,3
123,1,1,3,4,4,2,3,3,1,3
124,2,4,2,4,4,2,3,4,1,3
125,2,4,1,1,1,3,3,2,2,0
126,2,4,3,2,1,3,3,3,1,0
127,1,3,2,3,3,2,3,3,1,3
128,2,4,3,3,4,3,3,3,1,3
129,1,4,3,1,1,1,3,3,1,0
130,1,4,1,1,1,2,2,3,1,0
131,2,4,1,3,1,2,3,3,1,0
132,2,4,3,2,3,2,3,3,1,3
133,2,4,1,2,1,1,3,3,1,0
134,1,4,2,3,1,3,3,3,1,0
135,1,3,3,4,1,1,3,2,1,1
136,1,4,1,3,1,3,3,3,1,0
137,1,4,1,2,3,3,3,3,1,0
138,1,1,1,4,1,3,3,1,2,1
139,1,1,3,1,1,1,1,2,2,2
140,2,1,3,1,1,3,3,4,1,2
141,1,2,3,1,1,1,2,2,2,2
142,2,1,3,1,1,2,1,3,1,2
143,2,1,3,2,1,3,3,2,2,2
144,2,4,1,3,1,2,3,3,1,0
145,1,3,3,3,1,3,3,3,1,1
146,2,2,1,3,1,3,3,3,1,2
147,2,4,1,2,1,3,3,2,2,0
148,1,1,3,4,5,3,3,3,1,3
149,1,4,3,4,1,3,3,4,2,0
150,1,3,1,2,1,2,3,2,2,0
151,1,2,3,3,4,1,3,4,2,3
152,1,2,2,2,1,3,2,4,1,2
153,2,2,2,4,1,3,3,3,1,1
154,2,2,1,3,2,3,3,3,1,0
155,2,2,3,2,1,3,3,3,1,2
156,1,2,2,4,2,3,3,4,1,1
157,1,3,1,2,1,2,3,3,1,0
158,2,2,3,3,1,2,3,2,2,1
159,2,1,3,2,1,2,3,3,1,2
160,1,2,2,3,1,3,3,3,1,1
161,1,3,2,2,3,3,3,2,2,3
162,1,3,3,4,4,1,3,3,1,3
163,2,4,3,4,1,3,3,3,1,0
164,2,1,3,2,1,3,3,4,1,2
165,1,3,3,2,1,1,3,3,1,0
166,1,3,3,3,1,3,3,4,1,1
167,1,4,3,2,3,2,3,3,1,3
168,2,2,3,2,1,3,3,2,2,2
169,2,1,3,2,1,3,1,1,2,2
170,1,1,3,2,1,3,2,2,2,2
171,2,1,3,2,1,1,3,2,2,2
172,2,1,3,2,1,3,2,3,1,2
173,2,1,3,2,1,3,3,2,2,2
174,2,2,3,4,4,2,3,3,1,3
175,2,2,1,1,1,3,1,2,2,2
176,2,2,1,2,1,3,3,2,2,2
177,1,2,1,1,3,2,2,2,2,2
178,2,1,3,3,1,3,3,3,1,1
179,1,2,3,2,5,1,3,2,2,3
180,2,3,3,3,1,1,3,2,2,1
181,2,1,3,2,1,2,3,2,2,2
182,1,2,2,2,1,1,3,2,2,2
183,2,2,1,2,1,3,3,3,1,2
184,1,1,3,4,1,1,2,2,1,1
185,2,2,3,2,1,1,2,3,1,2
186,2,2,3,4,4,1,3,4,2,3
187,2,2,2,3,1,2,3,2,2,1
188,1,3,3,2,3,3,3,3,1,3
189,1,2,3,4,1,3,3,3,1,1
190,2,2,3,3,3,3,3,3,1,3
191,1,4,3,3,4,1,3,4,1,3
192,1,3,3,4,1,1,3,2,2,1
193,1,3,2,1,3,3,2,3,1,3
194,2,2,1,3,1,3,3,2,2,2
195,2,3,3,2,1,2,3,2,2,0
196,2,2,3,4,1,3,3,3,1,1
197,2,3,2,4,3,1,3,2,2,3
198,1,2,1,1,1,3,3,3,1,2
199,1,2,3,3,1,3,3,3,1,1
200,1,1,3,3,1,3,3,3,1,1
201,1,1,3,4,1,3,3,1,2,1
202,1,3,2,3,1,3,3,2,2,0
203,1,3,3,2,1,3,3,4,1,0
204,1,3,3,2,1,3,3,4,1,0
205,1,1,3,3,3,3,3,2,2,1
206,1,1,2,3,4,2,3,3,1,3
207,1,3,3,4,1,3,3,3,1,1
208,1,4,3,3,4,1,3,3,1,3
209,1,1,3,1,4,2,3,4,1,3
210,1,1,3,4,1,3,2,3,1,1
211,1,1,1,1,1,3,3,2,2,2
212,1,1,2,4,1,3,3,2,2,1
213,2,1,3,1,3,1,3,3,1,2
214,2,1,1,1,1,2,2,2,1,2
215,1,1,3,4,1,3,3,4,1,1
216,1,1,2,2,1,3,2,3,1,2
217,2,1,2,3,1,2,2,2,2,2
218,1,1,1,3,1,3,3,3,1,2
219,1,4,3,3,1,3,3,3,1,0
220,1,1,3,4,1,3,3,2,2,1
221,1,1,3,2,3,1,2,4,1,3
222,2,1,1,2,1,3,2,3,1,2
223,2,1,3,2,1,3,3,3,1,2
224,2,2,3,3,4,2,2,4,1,3
225,2,1,2,2,1,1,2,2,2,2
226,1,1,3,2,1,3,3,3,1,2
227,2,1,2,1,5,3,3,1,2,3
228,2,1,3,2,1,3,3,4,1,2
229,1,1,3,3,1,3,3,2,2,1
230,1,1,3,2,1,3,3,3,1,2
231,1,1,3,4,1,2,3,4,2,1
232,2,1,1,2,1,3,1,3,1,2
233,1,1,3,3,1,3,2,3,1,1
